State,Total
Alabama,9717
Alaska,17726
Arizona,8373
Arkansas,10168
California,12664
Colorado,10238
Connecticut,20147
Delaware,15282
District of Columbia,23155
Florida,9663
Georgia,10760
Hawaii,15242
Idaho,7846
Illinois,15912
Indiana,10033
Iowa,11724
Kansas,11095
Kentucky,11081
Lousiana,11636
Maine,15069
Maryland,15155
Massachusetts,18328
Michigan,11688
Minnesota,12910
Mississippi,8909
Missouri,11034
Montana,11512
Nebraska,12813
Nevada,9040
New Hampshire,16588
New Jersey,20316
New Mexico,9963
New York,23686
North Carolina,9277
North Dakota,13783
Ohio,12893
Oklahoma,8174
Oregon,11903
Pennsylvania,16377
Rhode Island,16954
South Carolina,10705
South Dakota,10263
Tennessee,9599
Texas,9670
Utah,7576
Vermont,20149
Virginia,12224
Washington,12985
West Virginia,11572
Wisconsin,12446
Wyoming,16134
