State,score
Alabama,40.28
Alaska,40.85
Arizona,53.47
Arkansas,36.83
California,61.14
Colorado,52.57
Connecticut,59.23
Delaware,52.25
District of Columbia,
Florida,50.58
Georgia,52.73
Hawaii,69.58
Idaho,59.58
Illinois,50.14
Indiana,47.96
Iowa,59.65
Kansas,49.16
Kentucky,38.29
Lousiana,38.15
Maine,50.12
Maryland,61.78
Massachusetts,57.30
Michigan,47.27
Minnesota,65.87
Mississippi,39.52
Missouri,45.79
Montana,47.25
Nebraska,59.06
Nevada,53.67
New Hampshire,53.36
New Jersey,64.10
New Mexico,47.03
New York,54.86
North Carolina,49.19
North Dakota,60.02
Ohio,48.37
Oklahoma,37.66
Oregon,43.67
Pennsylvania,50.16
Rhode Island,50.96
South Carolina,48.78
South Dakota,58.53
Tennessee,39.21
Texas,51.04
Utah,69.42
Vermont,55.59
Virginia,56.27
Washington,55.60
West Virginia,30.58
Wisconsin,54.32
Wyoming,49.26
